time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2022/03/25/14:16:33.323736,104,1648185393,323241819,map,714.087145454,109.467258175,0.0,0.0,-0.0,-0.999797807126,-0.0201083282783
2022/03/25/14:16:33.423790,105,1648185393,423235866,map,714.087145454,109.467258175,0.0,0.0,-0.0,-0.999797807126,-0.0201083282783
2022/03/25/14:16:33.523746,106,1648185393,523228758,map,713.654092196,109.500554513,0.0,0.0,-0.0,-0.999202572819,-0.0399276654852
2022/03/25/14:16:33.623732,107,1648185393,623214324,map,713.654092196,109.500554513,0.0,0.0,-0.0,-0.999202572819,-0.0399276654852
2022/03/25/14:16:33.723529,108,1648185393,723027487,map,713.229876761,109.522752071,0.0,0.0,-0.0,-0.999606353615,-0.0280559764266
2022/03/25/14:16:33.823778,109,1648185393,823264422,map,713.229876761,109.522752071,0.0,0.0,-0.0,-0.999606353615,-0.0280559764266
2022/03/25/14:16:33.923811,110,1648185393,923243310,map,713.229876761,109.522752071,0.0,0.0,-0.0,-0.999606353615,-0.0280559764266
2022/03/25/14:16:34.023859,111,1648185394,23329479,map,712.787985682,109.544949629,0.0,0.0,-0.0,-0.999624760318,-0.0273923083955
2022/03/25/14:16:34.123853,112,1648185394,123234070,map,712.787985682,109.544949629,0.0,0.0,-0.0,-0.999624760318,-0.0273923083955
2022/03/25/14:16:34.224069,113,1648185394,223481821,map,712.310743318,109.589344746,0.0,0.0,-0.0,-0.999255036444,-0.0385923845019
2022/03/25/14:16:34.323664,114,1648185394,323022265,map,712.310743318,109.589344746,0.0,0.0,-0.0,-0.999255036444,-0.0385923845019
2022/03/25/14:16:34.423959,115,1648185394,423335533,map,712.310743318,109.589344746,0.0,0.0,-0.0,-0.999255036444,-0.0385923845019
2022/03/25/14:16:34.523869,116,1648185394,523282383,map,711.833500952,109.633739862,0.0,0.0,-0.0,-0.999490787351,-0.0319087135606
2022/03/25/14:16:34.623481,117,1648185394,622977192,map,711.833500952,109.633739862,0.0,0.0,-0.0,-0.999490787351,-0.0319087135606
2022/03/25/14:16:34.723803,118,1648185394,723238641,map,711.329745122,109.65593742,0.0,0.0,-0.0,-0.999381809514,-0.0351567747848
2022/03/25/14:16:34.823867,119,1648185394,823256256,map,711.329745122,109.65593742,0.0,0.0,-0.0,-0.999381809514,-0.0351567747848
2022/03/25/14:16:34.923683,120,1648185394,923115791,map,711.329745122,109.65593742,0.0,0.0,-0.0,-0.999381809514,-0.0351567747848
2022/03/25/14:16:35.023823,121,1648185395,23219538,map,710.80831365,109.700332536,0.0,0.0,-0.0,-0.999315135014,-0.0370035259287
2022/03/25/14:16:35.123635,122,1648185395,123043867,map,710.80831365,109.700332536,0.0,0.0,-0.0,-0.999315135014,-0.0370035259287
2022/03/25/14:16:35.223948,123,1648185395,223461748,map,710.30455782,109.755826432,0.0,0.0,-0.0,-0.999454089061,-0.0330382181735
2022/03/25/14:16:35.323806,124,1648185395,323235031,map,710.30455782,109.755826432,0.0,0.0,-0.0,-0.999454089061,-0.0330382181735
2022/03/25/14:16:35.423813,125,1648185395,423256112,map,710.30455782,109.755826432,0.0,0.0,-0.0,-0.999454089061,-0.0330382181735
2022/03/25/14:16:35.523704,126,1648185395,523156625,map,709.791964169,109.800221548,0.0,0.0,-0.0,-0.998997273771,-0.0447710508971
2022/03/25/14:16:35.623799,127,1648185395,623261860,map,709.791964169,109.800221548,0.0,0.0,-0.0,-0.998997273771,-0.0447710508971
2022/03/25/14:16:35.723878,128,1648185395,723258763,map,709.261694874,109.833517886,0.0,0.0,-0.0,-0.999350858947,-0.0360258340971
2022/03/25/14:16:35.823893,129,1648185395,823272251,map,709.261694874,109.833517886,0.0,0.0,-0.0,-0.999350858947,-0.0360258340971
2022/03/25/14:16:35.923902,130,1648185395,923297758,map,709.261694874,109.833517886,0.0,0.0,-0.0,-0.999350858947,-0.0360258340971
2022/03/25/14:16:36.024123,131,1648185396,23477014,map,708.740263401,109.889011781,0.0,0.0,-0.0,-0.99817124,-0.0604497778007
2022/03/25/14:16:36.123469,132,1648185396,122954077,map,708.740263401,109.889011781,0.0,0.0,-0.0,-0.99817124,-0.0604497778007
2022/03/25/14:16:36.223549,133,1648185396,223012366,map,708.209994107,109.955604455,0.0,0.0,-0.0,-0.999595827299,-0.0284285428131
2022/03/25/14:16:36.323818,134,1648185396,323263678,map,708.209994107,109.955604455,0.0,0.0,-0.0,-0.999595827299,-0.0284285428131
2022/03/25/14:16:36.423773,135,1648185396,423241054,map,708.209994107,109.955604455,0.0,0.0,-0.0,-0.999595827299,-0.0284285428131
2022/03/25/14:16:36.523773,136,1648185396,523247772,map,707.706238277,109.988900793,0.0,0.0,-0.0,-0.999411438671,-0.0343041725449
2022/03/25/14:16:36.623606,137,1648185396,623054092,map,707.706238277,109.988900793,0.0,0.0,-0.0,-0.999411438671,-0.0343041725449
2022/03/25/14:16:36.723684,138,1648185396,723136663,map,707.211320269,110.044394688,0.0,0.0,-0.0,-0.997376222321,-0.0723924799189
2022/03/25/14:16:36.823865,139,1648185396,823254947,map,707.211320269,110.044394688,0.0,0.0,-0.0,-0.997376222321,-0.0723924799189
2022/03/25/14:16:36.923876,140,1648185396,923258904,map,707.211320269,110.044394688,0.0,0.0,-0.0,-0.997376222321,-0.0723924799189
2022/03/25/14:16:37.024095,141,1648185397,23473554,map,706.71640226,110.077691025,0.0,0.0,-0.0,-0.999393908262,-0.0348111494911
2022/03/25/14:16:37.123683,142,1648185397,123066325,map,706.71640226,110.077691025,0.0,0.0,-0.0,-0.999393908262,-0.0348111494911
2022/03/25/14:16:37.223543,143,1648185397,223027623,map,706.230322073,110.166481258,0.0,0.0,-0.0,-0.997259651377,-0.0739809957735
2022/03/25/14:16:37.323708,144,1648185397,323204304,map,706.230322073,110.166481258,0.0,0.0,-0.0,-0.997259651377,-0.0739809957735
2022/03/25/14:16:37.423742,145,1648185397,423197513,map,706.230322073,110.166481258,0.0,0.0,-0.0,-0.997259651377,-0.0739809957735
2022/03/25/14:16:37.523786,146,1648185397,523255272,map,705.708890601,110.221975154,0.0,0.0,-0.0,-0.999005111495,-0.0445958205033
2022/03/25/14:16:37.623928,147,1648185397,623377869,map,705.708890601,110.221975154,0.0,0.0,-0.0,-0.999005111495,-0.0445958205033
2022/03/25/14:16:37.723898,148,1648185397,723300206,map,705.160945663,110.299666607,0.0,0.0,-0.0,-0.999396111732,-0.0347478323686
2022/03/25/14:16:37.823830,149,1648185397,823235838,map,705.160945663,110.299666607,0.0,0.0,-0.0,-0.999396111732,-0.0347478323686
2022/03/25/14:16:37.923883,150,1648185397,923234779,map,705.160945663,110.299666607,0.0,0.0,-0.0,-0.999396111732,-0.0347478323686
2022/03/25/14:16:38.023798,151,1648185398,23220950,map,704.630676369,110.355160503,0.0,0.0,-0.0,-0.998563661698,-0.0535781068749
2022/03/25/14:16:38.123863,152,1648185398,123220158,map,704.630676369,110.355160503,0.0,0.0,-0.0,-0.998563661698,-0.0535781068749
2022/03/25/14:16:38.223867,153,1648185398,223249975,map,704.109244896,110.39955562,0.0,0.0,-0.0,-0.998878181972,-0.0473537493787
2022/03/25/14:16:38.323579,154,1648185398,323063823,map,704.109244896,110.39955562,0.0,0.0,-0.0,-0.998878181972,-0.0473537493787
2022/03/25/14:16:38.423877,155,1648185398,423204861,map,704.109244896,110.39955562,0.0,0.0,-0.0,-0.998878181972,-0.0473537493787
2022/03/25/14:16:38.523665,156,1648185398,523147707,map,703.57013778,110.455049515,0.0,0.0,0.0,-0.999877947593,0.0156233772763
2022/03/25/14:16:38.623625,157,1648185398,623008511,map,703.57013778,110.455049515,0.0,0.0,0.0,-0.999877947593,0.0156233772763
2022/03/25/14:16:38.723638,158,1648185398,723078102,map,703.031030663,110.532740969,0.0,0.0,-0.0,-0.996157346371,-0.0875816263336
2022/03/25/14:16:38.823856,159,1648185398,823203086,map,703.031030663,110.532740969,0.0,0.0,-0.0,-0.996157346371,-0.0875816263336
2022/03/25/14:16:38.923824,160,1648185398,923183021,map,703.031030663,110.532740969,0.0,0.0,-0.0,-0.996157346371,-0.0875816263336
2022/03/25/14:16:39.023857,161,1648185399,23230534,map,702.456572261,110.610432422,0.0,0.0,-0.0,-0.99737213335,-0.0724487930626
2022/03/25/14:16:39.123726,162,1648185399,123037286,map,702.456572261,110.610432422,0.0,0.0,-0.0,-0.99737213335,-0.0724487930626
2022/03/25/14:16:39.223686,163,1648185399,223065462,map,701.882113859,110.699222655,0.0,0.0,-0.0,-0.99783568816,-0.0657566683684
2022/03/25/14:16:39.323786,164,1648185399,323160646,map,701.882113859,110.699222655,0.0,0.0,-0.0,-0.99783568816,-0.0657566683684
2022/03/25/14:16:39.423722,165,1648185399,423109329,map,701.882113859,110.699222655,0.0,0.0,-0.0,-0.99783568816,-0.0657566683684
2022/03/25/14:16:39.523754,166,1648185399,523239396,map,701.334168921,110.743617771,0.0,0.0,-0.0,-0.995482195266,-0.0949484012941
2022/03/25/14:16:39.623607,167,1648185399,623020252,map,701.334168921,110.743617771,0.0,0.0,-0.0,-0.995482195266,-0.0949484012941
2022/03/25/14:16:39.723568,168,1648185399,723030936,map,700.680170124,110.75471655,0.0,0.0,-0.0,-0.998650993507,-0.0519248800492
2022/03/25/14:16:39.823863,169,1648185399,823225211,map,700.680170124,110.75471655,0.0,0.0,-0.0,-0.998650993507,-0.0519248800492
2022/03/25/14:16:39.923642,170,1648185399,923049839,map,700.680170124,110.75471655,0.0,0.0,-0.0,-0.998650993507,-0.0519248800492
2022/03/25/14:16:40.023871,171,1648185400,23275737,map,700.070360436,110.799111667,0.0,0.0,-0.0,-0.999344552873,-0.0362003403855
2022/03/25/14:16:40.123541,172,1648185400,122993094,map,700.070360436,110.799111667,0.0,0.0,-0.0,-0.999344552873,-0.0362003403855
2022/03/25/14:16:40.223624,173,1648185400,223052804,map,699.47822639,110.865704341,0.0,0.0,-0.0,-0.997559927349,-0.0698154091031
2022/03/25/14:16:40.323597,174,1648185400,323055776,map,699.47822639,110.865704341,0.0,0.0,-0.0,-0.997559927349,-0.0698154091031
2022/03/25/14:16:40.423580,175,1648185400,423024904,map,699.47822639,110.865704341,0.0,0.0,-0.0,-0.997559927349,-0.0698154091031
2022/03/25/14:16:40.523482,176,1648185400,522949424,map,698.877254523,110.954494573,0.0,0.0,-0.0,-0.997229775786,-0.0743826208543
2022/03/25/14:16:40.623492,177,1648185400,622937188,map,698.877254523,110.954494573,0.0,0.0,-0.0,-0.997229775786,-0.0743826208543
2022/03/25/14:16:40.723788,178,1648185400,723199214,map,698.311633942,111.065482365,0.0,0.0,-0.0,-0.992901735994,-0.118937557817
2022/03/25/14:16:40.823838,179,1648185400,823256668,map,698.311633942,111.065482365,0.0,0.0,-0.0,-0.992901735994,-0.118937557817
2022/03/25/14:16:40.923910,180,1648185400,923270571,map,698.311633942,111.065482365,0.0,0.0,-0.0,-0.992901735994,-0.118937557817
2022/03/25/14:16:41.023776,181,1648185401,23131474,map,697.728337718,111.165371376,0.0,0.0,-0.0,-0.998026317444,-0.0627970515976
2022/03/25/14:16:41.123729,182,1648185401,123081590,map,697.728337718,111.165371376,0.0,0.0,-0.0,-0.998026317444,-0.0627970515976
